source,disease,symptoms,description,text
Orphanet,Alexander disease,"Macrocephaly, Intellectual disability, Seizure, Spasticity, Agenesis of corpus callosum, Hyperreflexia, Megalencephaly, Failure to thrive, Frontal bossing, Nausea and vomiting",Rare disease with 61 known phenotypic features,"Disease: Alexander disease | Symptoms: Macrocephaly, Intellectual disability, Seizure, Spasticity, Agenesis of corpus callosum, Hyperreflexia, Megalencephaly, Failure to thrive, Frontal bossing, Nausea and vomiting | Description: Rare disease with 61 known phenotypic features | Source: Orphanet"
Orphanet,Alpha-mannosidosis,"Macroglossia, Coarse facial features, Hearing impairment, Cataract, Intellectual disability, Global developmental delay, Splenomegaly, Hepatomegaly, Skeletal dysplasia, Delayed skeletal maturation",Rare disease with 42 known phenotypic features,"Disease: Alpha-mannosidosis | Symptoms: Macroglossia, Coarse facial features, Hearing impairment, Cataract, Intellectual disability, Global developmental delay, Splenomegaly, Hepatomegaly, Skeletal dysplasia, Delayed skeletal maturation | Description: Rare disease with 42 known phenotypic features | Source: Orphanet"
Orphanet,Aspartylglucosaminuria,"Gingival overgrowth, Mandibular prognathia, Hypertelorism, Wide nasal bridge, Delayed speech and language development, Intellectual disability, Umbilical hernia, Abnormal facial shape, Abnormality of speech or vocalization, Scoliosis",Rare disease with 43 known phenotypic features,"Disease: Aspartylglucosaminuria | Symptoms: Gingival overgrowth, Mandibular prognathia, Hypertelorism, Wide nasal bridge, Delayed speech and language development, Intellectual disability, Umbilical hernia, Abnormal facial shape, Abnormality of speech or vocalization, Scoliosis | Description: Rare disease with 43 known phenotypic features | Source: Orphanet"
Orphanet,Multiple sulfatase deficiency,"Hydrocephalus, Microcephaly, Macrocephaly, Coarse facial features, Smooth philtrum, Sensorineural hearing impairment, Anteverted nares, Visual impairment, Cataract, Thick eyebrow",Rare disease with 30 known phenotypic features,"Disease: Multiple sulfatase deficiency | Symptoms: Hydrocephalus, Microcephaly, Macrocephaly, Coarse facial features, Smooth philtrum, Sensorineural hearing impairment, Anteverted nares, Visual impairment, Cataract, Thick eyebrow | Description: Rare disease with 30 known phenotypic features | Source: Orphanet"
Orphanet,Beta-mannosidosis,"Hearing impairment, Intellectual disability, Seizure, Abnormal facial shape, Recurrent respiratory infections, Hypoplasia of the abdominal wall musculature",Rare disease with 6 known phenotypic features,"Disease: Beta-mannosidosis | Symptoms: Hearing impairment, Intellectual disability, Seizure, Abnormal facial shape, Recurrent respiratory infections, Hypoplasia of the abdominal wall musculature | Description: Rare disease with 6 known phenotypic features | Source: Orphanet"
Orphanet,Canavan disease,"Macrocephaly, Hearing impairment, Visual impairment, Blindness, Optic atrophy, Abnormality of visual evoked potentials, Seizure, Hypotonia, Global developmental delay, Hypertonia",Rare disease with 18 known phenotypic features,"Disease: Canavan disease | Symptoms: Macrocephaly, Hearing impairment, Visual impairment, Blindness, Optic atrophy, Abnormality of visual evoked potentials, Seizure, Hypotonia, Global developmental delay, Hypertonia | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,Cystinosis,"Proteinuria, Nephropathy, Renal tubular dysfunction, Photophobia, Hypothyroidism, Delayed puberty, Muscle weakness, Failure to thrive, Dehydration, Polydipsia",Rare disease with 56 known phenotypic features,"Disease: Cystinosis | Symptoms: Proteinuria, Nephropathy, Renal tubular dysfunction, Photophobia, Hypothyroidism, Delayed puberty, Muscle weakness, Failure to thrive, Dehydration, Polydipsia | Description: Rare disease with 56 known phenotypic features | Source: Orphanet"
Orphanet,Fucosidosis,"Abnormality of the dentition, Brachycephaly, Coarse facial features, Hearing impairment, Hypothyroidism, Dysostosis multiplex, Hyperhidrosis, Acrocyanosis, Seizure, Hypotonia",Rare disease with 31 known phenotypic features,"Disease: Fucosidosis | Symptoms: Abnormality of the dentition, Brachycephaly, Coarse facial features, Hearing impairment, Hypothyroidism, Dysostosis multiplex, Hyperhidrosis, Acrocyanosis, Seizure, Hypotonia | Description: Rare disease with 31 known phenotypic features | Source: Orphanet"
Orphanet,Glycogen storage disease due to glycogen debranching enzyme deficiency,"Full cheeks, Intellectual disability, mild, Hypoglycemia, Hypertriglyceridemia, Immunodeficiency, Myopathy, Short stature",Rare disease with 7 known phenotypic features,"Disease: Glycogen storage disease due to glycogen debranching enzyme deficiency | Symptoms: Full cheeks, Intellectual disability, mild, Hypoglycemia, Hypertriglyceridemia, Immunodeficiency, Myopathy, Short stature | Description: Rare disease with 7 known phenotypic features | Source: Orphanet"
Orphanet,Krabbe disease,"Hearing impairment, Sensorineural hearing impairment, Visual impairment, Atypical behavior, Sensory neuropathy, Abnormal thumb morphology, Ataxia, Spasticity, Global developmental delay, Abnormality of metabolism/homeostasis",Rare disease with 50 known phenotypic features,"Disease: Krabbe disease | Symptoms: Hearing impairment, Sensorineural hearing impairment, Visual impairment, Atypical behavior, Sensory neuropathy, Abnormal thumb morphology, Ataxia, Spasticity, Global developmental delay, Abnormality of metabolism/homeostasis | Description: Rare disease with 50 known phenotypic features | Source: Orphanet"
Orphanet,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Muscle weakness, Anemia, Hyperuricemia, Myotonia, Skeletal muscle atrophy, Increased muscle glycogen content",Rare disease with 6 known phenotypic features,"Disease: Glycogen storage disease due to muscle phosphofructokinase deficiency | Symptoms: Muscle weakness, Anemia, Hyperuricemia, Myotonia, Skeletal muscle atrophy, Increased muscle glycogen content | Description: Rare disease with 6 known phenotypic features | Source: Orphanet"
Orphanet,Mucopolysaccharidosis type 6,"Abnormal cardiovascular system morphology, Thick lower lip vermilion, Sinusitis, Coarse facial features, Chronic otitis media, Abnormal metaphysis morphology, Joint stiffness, Failure to thrive, Epiphyseal dysplasia, Recurrent upper respiratory tract infections",Rare disease with 27 known phenotypic features,"Disease: Mucopolysaccharidosis type 6 | Symptoms: Abnormal cardiovascular system morphology, Thick lower lip vermilion, Sinusitis, Coarse facial features, Chronic otitis media, Abnormal metaphysis morphology, Joint stiffness, Failure to thrive, Epiphyseal dysplasia, Recurrent upper respiratory tract infections | Description: Rare disease with 27 known phenotypic features | Source: Orphanet"
Orphanet,Sialidosis type 1,"Thick lower lip vermilion, Coarse facial features, Sensorineural hearing impairment, Wide nasal bridge, Retinopathy, Visual impairment, Cataract, Progressive visual loss, Nystagmus, Decreased nerve conduction velocity",Rare disease with 42 known phenotypic features,"Disease: Sialidosis type 1 | Symptoms: Thick lower lip vermilion, Coarse facial features, Sensorineural hearing impairment, Wide nasal bridge, Retinopathy, Visual impairment, Cataract, Progressive visual loss, Nystagmus, Decreased nerve conduction velocity | Description: Rare disease with 42 known phenotypic features | Source: Orphanet"
Orphanet,Mucolipidosis type IV,"Everted lower lip vermilion, Microcephaly, Coarse facial features, Strabismus, Retinopathy, Abnormal electroretinogram, Photophobia, Nystagmus, Microdontia, Atypical behavior",Rare disease with 27 known phenotypic features,"Disease: Mucolipidosis type IV | Symptoms: Everted lower lip vermilion, Microcephaly, Coarse facial features, Strabismus, Retinopathy, Abnormal electroretinogram, Photophobia, Nystagmus, Microdontia, Atypical behavior | Description: Rare disease with 27 known phenotypic features | Source: Orphanet"
Orphanet,Mucolipidosis type III,"Genu valgum, Hyperlordosis, Corneal opacity, Prominent occiput, Visual impairment, Joint stiffness, Deficiency of N-acetylglucosamine-1-phosphotransferase, Abnormality of the hip bone, Abnormal form of the vertebral bodies, Short stature",Rare disease with 36 known phenotypic features,"Disease: Mucolipidosis type III | Symptoms: Genu valgum, Hyperlordosis, Corneal opacity, Prominent occiput, Visual impairment, Joint stiffness, Deficiency of N-acetylglucosamine-1-phosphotransferase, Abnormality of the hip bone, Abnormal form of the vertebral bodies, Short stature | Description: Rare disease with 36 known phenotypic features | Source: Orphanet"
